center,latitude,longitude
0,30.3808,-97.9787
0,30.3804,-97.979
0,30.3765,-97.9781
0,30.3764,-97.9787
0,30.3764,-97.9759
0,30.3763,-97.9745
0,30.3763,-97.9737
0,30.3761,-97.9785
0,30.3809,-97.9724
0,30.3824,-97.9722
0,30.3816,-97.9705
0,30.3828,-97.9729
0,30.3825,-97.9724
0,30.382,-97.9691
0,30.382,-97.9742
0,30.382,-97.975
0,30.3815,-97.9764
0,30.3825,-97.9752
0,30.3828,-97.9736
0,30.3829,-97.9767
0,30.3812,-97.9766
0,30.3766,-97.9797
0,30.3759,-97.9723
0,30.3757,-97.9721
0,30.3761,-97.9747
0,30.376,-97.9762
0,30.3761,-97.9771
0,30.3757,-97.9721
0,30.3758,-97.9734
0,30.3818,-97.9754
0,30.3761,-97.9754
0,30.3756,-97.9743
0,30.3757,-97.9779
0,30.3765,-97.9811
0,30.3763,-97.9807
0,30.3763,-97.9818
0,30.3757,-97.9812
0,30.3757,-97.9756
0,30.3757,-97.9779
0,30.3822,-97.9714
0,30.3827,-97.9694
0,30.3754,-97.9726
0,30.3753,-97.9715
0,30.3754,-97.9757
0,30.3754,-97.9805
0,30.3751,-97.979
0,30.3754,-97.9817
0,30.3752,-97.9811
0,30.3755,-97.9762
0,30.3752,-97.9738
0,30.3751,-97.9756
0,30.3751,-97.9772
0,30.376,-97.9802
0,30.3796,-97.9752
0,30.3755,-97.9795
0,30.3761,-97.9795
0,30.3795,-97.9762
1,30.3769,-97.9723
1,30.3800 ,-97.9780 
1,30.3806,-97.9727
1,30.3757,-97.9773
