id,center,x,y
0,1,22.229884,113.510737
1,0,22.230369,113.509372
2,0,22.229867,113.509291
3,0,22.230285,113.509749
4,0,22.229691,113.509686
5,0,22.229959,113.510144
6,0,22.229449,113.510171
7,0,22.229006,113.510108
8,0,22.229156,113.510522
9,0,22.22883,113.510378
10,0,22.228378,113.510144
11,0,22.228462,113.510396
12,0,22.228746,113.510971
13,0,22.228796,113.511474
14,0,22.229223,113.511528
15,0,22.229466,113.510647
16,0,22.229507,113.511141
17,0,22.229825,113.511564
18,0,22.229482,113.511797
19,0,22.229165,113.511761
20,0,22.228546,113.511645
21,0,22.228203,113.512067
