first,second,distance
0,1,28.0
0,2,1251.0
0,3,174.0
0,4,107.0
0,5,191.0
0,6,180.0
0,7,1374.0
0,8,146.0
0,9,989.0
0,10,199.0
0,11,179.0
0,12,1059.0
0,13,876.0
0,14,287.0
0,15,172.0
0,16,290.0
0,17,259.0
0,18,818.0
0,19,802.0
0,20,941.0
0,21,930.0
1,2,1279.0
1,3,147.0
1,4,80.0
1,5,219.0
1,6,153.0
1,7,1402.0
1,8,119.0
1,9,1017.0
1,10,172.0
1,11,152.0
1,12,1087.0
1,13,904.0
1,14,260.0
1,15,145.0
1,16,272.0
1,17,232.0
1,18,846.0
1,19,830.0
1,20,969.0
1,21,958.0
2,3,666.0
2,4,778.0
2,5,522.0
2,6,589.0
2,7,123.0
2,8,694.0
2,9,361.0
2,10,709.0
2,11,689.0
2,12,431.0
2,13,732.0
2,14,747.0
2,15,596.0
2,16,621.0
2,17,719.0
2,18,674.0
2,19,658.0
2,20,797.0
2,21,780.0
3,4,113.0
3,5,253.0
3,6,186.0
3,7,1490.0
3,8,28.0
3,9,1105.0
3,10,205.0
3,11,185.0
3,12,1175.0
3,13,992.0
3,14,293.0
3,15,178.0
3,16,305.0
3,17,265.0
3,18,934.0
3,19,918.0
3,20,1057.0
3,21,1046.0
4,5,140.0
4,6,73.0
4,7,1602.0
4,8,85.0
4,9,1217.0
4,10,92.0
4,11,72.0
4,12,1287.0
4,13,1104.0
4,14,180.0
4,15,65.0
4,16,192.0
4,17,152.0
4,18,1046.0
4,19,1030.0
4,20,1169.0
4,21,1158.0
5,6,68.0
5,7,1346.0
5,8,225.0
5,9,961.0
5,10,188.0
5,11,168.0
5,12,1031.0
5,13,848.0
5,14,226.0
5,15,75.0
5,16,100.0
5,17,198.0
5,18,790.0
5,19,774.0
5,20,913.0
5,21,902.0
6,7,1413.0
6,8,158.0
6,9,1028.0
6,10,121.0
6,11,101.0
6,12,1098.0
6,13,915.0
6,14,159.0
6,15,7.0
6,16,120.0
6,17,131.0
6,18,857.0
6,19,841.0
6,20,980.0
6,21,969.0
7,8,953.0
7,9,239.0
7,10,968.0
7,11,948.0
7,12,309.0
7,13,610.0
7,14,1006.0
7,15,855.0
7,16,880.0
7,17,978.0
7,18,552.0
7,19,536.0
7,20,675.0
7,21,658.0
8,9,446.0
8,10,794.0
8,11,774.0
8,12,516.0
8,13,817.0
8,14,832.0
8,15,681.0
8,16,706.0
8,17,804.0
8,18,759.0
8,19,743.0
8,20,882.0
8,21,865.0
9,10,971.0
9,11,951.0
9,12,312.0
9,13,613.0
9,14,1009.0
9,15,858.0
9,16,883.0
9,17,981.0
9,18,555.0
9,19,539.0
9,20,678.0
9,21,661.0
10,11,20.0
10,12,1218.0
10,13,1035.0
10,14,228.0
10,15,113.0
10,16,240.0
10,17,200.0
10,18,977.0
10,19,961.0
10,20,1100.0
10,21,1089.0
11,12,145.0
11,13,446.0
11,14,1084.0
11,15,933.0
11,16,958.0
11,17,1056.0
11,18,388.0
11,19,372.0
11,20,511.0
11,21,494.0
12,13,302.0
12,14,1148.0
12,15,997.0
12,16,1022.0
12,17,1120.0
12,18,244.0
12,19,228.0
12,20,367.0
12,21,350.0
13,14,1150.0
13,15,999.0
13,16,1024.0
13,17,1122.0
13,18,246.0
13,19,230.0
13,20,65.0
13,21,352.0
14,15,151.0
14,16,241.0
14,17,50.0
14,18,1015.0
14,19,999.0
14,20,1138.0
14,21,1127.0
15,16,127.0
15,17,123.0
15,18,864.0
15,19,848.0
15,20,987.0
15,21,976.0
16,17,191.0
16,18,889.0
16,19,873.0
16,20,1012.0
16,21,1001.0
17,18,987.0
17,19,971.0
17,20,1110.0
17,21,1099.0
18,19,468.0
18,20,607.0
18,21,590.0
19,20,264.0
19,21,247.0
20,21,356.0
