first,second,distance
0,1,1223.0
0,2,49.0
0,3,1192.0
0,4,290.0
0,5,208.0
0,6,1274.0
0,7,1251.0
0,8,1293.0
0,9,1147.0
0,10,1082.0
0,11,1685.0
0,12,1697.0
0,13,1159.0
0,14,1192.0
0,15,1281.0
0,16,2373.0
0,17,1239.0
0,18,1443.0
0,19,2326.0
0,20,1367.0
0,21,1886.0
1,2,129.0
1,3,1231.0
1,4,329.0
1,5,247.0
1,6,1313.0
1,7,1290.0
1,8,1332.0
1,9,1186.0
1,10,1121.0
1,11,1724.0
1,12,1736.0
1,13,1198.0
1,14,1231.0
1,15,1320.0
1,16,2412.0
1,17,1278.0
1,18,1482.0
1,19,2365.0
1,20,1406.0
1,21,1925.0
2,3,1240.0
2,4,338.0
2,5,256.0
2,6,1119.0
2,7,1232.0
2,8,1231.0
2,9,1272.0
2,10,1130.0
2,11,1255.0
2,12,1267.0
2,13,1207.0
2,14,1228.0
2,15,1329.0
2,16,1943.0
2,17,1287.0
2,18,1491.0
2,19,1896.0
2,20,1415.0
2,21,1934.0
3,4,1135.0
3,5,1053.0
3,6,90.0
3,7,155.0
3,8,154.0
3,9,229.0
3,10,415.0
3,11,494.0
3,12,506.0
3,13,517.0
3,14,274.0
3,15,1650.0
3,16,1182.0
3,17,2084.0
3,18,1488.0
3,19,1135.0
3,20,1564.0
3,21,1425.0
4,5,82.0
4,6,1242.0
4,7,1219.0
4,8,1261.0
4,9,1115.0
4,10,1050.0
4,11,1653.0
4,12,1665.0
4,13,1127.0
4,14,1160.0
4,15,1249.0
4,16,2341.0
4,17,1207.0
4,18,1411.0
4,19,2294.0
4,20,1335.0
4,21,1854.0
5,6,1160.0
5,7,1137.0
5,8,1179.0
5,9,1033.0
5,10,968.0
5,11,1571.0
5,12,1583.0
5,13,1045.0
5,14,1078.0
5,15,1167.0
5,16,2259.0
5,17,1125.0
5,18,1329.0
5,19,2212.0
5,20,1253.0
5,21,1772.0
6,7,147.0
6,8,146.0
6,9,221.0
6,10,407.0
6,11,400.0
6,12,412.0
6,13,509.0
6,14,266.0
6,15,652.0
6,16,1088.0
6,17,610.0
6,18,814.0
6,19,1041.0
6,20,738.0
6,21,1257.0
7,8,43.0
7,9,222.0
7,10,450.0
7,11,451.0
7,12,463.0
7,13,552.0
7,14,178.0
7,15,695.0
7,16,1139.0
7,17,653.0
7,18,857.0
7,19,1092.0
7,20,781.0
7,21,1300.0
8,9,107.0
8,10,386.0
8,11,531.0
8,12,543.0
8,13,488.0
8,14,117.0
8,15,631.0
8,16,1219.0
8,17,589.0
8,18,793.0
8,19,1172.0
8,20,717.0
8,21,1236.0
9,10,280.0
9,11,553.0
9,12,565.0
9,13,382.0
9,14,46.0
9,15,525.0
9,16,1241.0
9,17,483.0
9,18,687.0
9,19,1194.0
9,20,611.0
9,21,1130.0
10,11,811.0
10,12,823.0
10,13,103.0
10,14,325.0
10,15,393.0
10,16,1499.0
10,17,351.0
10,18,555.0
10,19,1452.0
10,20,479.0
10,21,998.0
11,12,88.0
11,13,1769.0
11,14,1344.0
11,15,1550.0
11,16,1082.0
11,17,2520.0
11,18,1388.0
11,19,1035.0
11,20,1464.0
11,21,1325.0
12,13,1781.0
12,14,1356.0
12,15,1562.0
12,16,1094.0
12,17,2532.0
12,18,1400.0
12,19,1047.0
12,20,1476.0
12,21,1337.0
13,14,427.0
13,15,290.0
13,16,1662.0
13,17,248.0
13,18,452.0
13,19,1615.0
13,20,376.0
13,21,895.0
14,15,570.0
14,16,1197.0
14,17,528.0
14,18,732.0
14,19,1150.0
14,20,656.0
14,21,1175.0
15,16,1162.0
15,17,212.0
15,18,162.0
15,19,1115.0
15,20,86.0
15,21,605.0
16,17,2132.0
16,18,1000.0
16,19,46.0
16,20,1076.0
16,21,937.0
17,18,374.0
17,19,1695.0
17,20,298.0
17,21,817.0
18,19,953.0
18,20,76.0
18,21,443.0
19,20,1029.0
19,21,890.0
20,21,519.0
