first,second,distance
0,1,84.0
0,2,34.0
0,3,63.0
0,4,68.0
0,5,119.0
0,6,1282.0
0,7,1371.0
0,8,1442.0
0,9,1507.0
0,10,994.0
0,11,1551.0
0,12,537.0
0,13,668.0
0,14,1420.0
0,15,472.0
0,16,536.0
0,17,652.0
0,18,654.0
0,19,670.0
0,20,647.0
0,21,472.0
1,2,50.0
1,3,147.0
1,4,152.0
1,5,203.0
1,6,1366.0
1,7,1455.0
1,8,1526.0
1,9,1591.0
1,10,1078.0
1,11,1635.0
1,12,621.0
1,13,752.0
1,14,1504.0
1,15,556.0
1,16,620.0
1,17,736.0
1,18,738.0
1,19,754.0
1,20,731.0
1,21,556.0
2,3,97.0
2,4,102.0
2,5,153.0
2,6,1316.0
2,7,1405.0
2,8,1476.0
2,9,1541.0
2,10,1028.0
2,11,1585.0
2,12,571.0
2,13,702.0
2,14,1454.0
2,15,506.0
2,16,570.0
2,17,686.0
2,18,688.0
2,19,704.0
2,20,681.0
2,21,506.0
3,4,71.0
3,5,122.0
3,6,1285.0
3,7,1374.0
3,8,1445.0
3,9,1510.0
3,10,997.0
3,11,1554.0
3,12,540.0
3,13,671.0
3,14,1423.0
3,15,475.0
3,16,539.0
3,17,655.0
3,18,657.0
3,19,673.0
3,20,650.0
3,21,475.0
4,5,51.0
4,6,1215.0
4,7,1304.0
4,8,1375.0
4,9,1440.0
4,10,927.0
4,11,1484.0
4,12,470.0
4,13,601.0
4,14,1353.0
4,15,405.0
4,16,469.0
4,17,585.0
4,18,587.0
4,19,603.0
4,20,580.0
4,21,405.0
5,6,1164.0
5,7,1253.0
5,8,1324.0
5,9,1389.0
5,10,876.0
5,11,1433.0
5,12,419.0
5,13,550.0
5,14,1302.0
5,15,354.0
5,16,418.0
5,17,534.0
5,18,536.0
5,19,552.0
5,20,529.0
5,21,354.0
6,7,90.0
6,8,161.0
6,9,226.0
6,10,1354.0
6,11,270.0
6,12,897.0
6,13,1028.0
6,14,139.0
6,15,832.0
6,16,896.0
6,17,1012.0
6,18,1014.0
6,19,1030.0
6,20,1007.0
6,21,832.0
7,8,72.0
7,9,137.0
7,10,1265.0
7,11,181.0
7,12,808.0
7,13,939.0
7,14,49.0
7,15,743.0
7,16,807.0
7,17,923.0
7,18,925.0
7,19,941.0
7,20,918.0
7,21,743.0
8,9,66.0
8,10,1194.0
8,11,110.0
8,12,737.0
8,13,868.0
8,14,1620.0
8,15,672.0
8,16,736.0
8,17,852.0
8,18,854.0
8,19,870.0
8,20,847.0
8,21,672.0
9,10,1129.0
9,11,45.0
9,12,672.0
9,13,803.0
9,14,1555.0
9,15,607.0
9,16,671.0
9,17,787.0
9,18,789.0
9,19,805.0
9,20,782.0
9,21,607.0
10,11,1714.0
10,12,2183.0
10,13,2314.0
10,14,3066.0
10,15,2118.0
10,16,2182.0
10,17,2298.0
10,18,2300.0
10,19,2316.0
10,20,2293.0
10,21,2118.0
11,12,627.0
11,13,758.0
11,14,1510.0
11,15,562.0
11,16,626.0
11,17,742.0
11,18,744.0
11,19,760.0
11,20,737.0
11,21,562.0
12,13,421.0
12,14,884.0
12,15,225.0
12,16,289.0
12,17,405.0
12,18,407.0
12,19,423.0
12,20,111.0
12,21,225.0
13,14,1075.0
13,15,124.0
13,16,188.0
13,17,304.0
13,18,306.0
13,19,322.0
13,20,302.0
13,21,124.0
14,15,694.0
14,16,758.0
14,17,874.0
14,18,876.0
14,19,892.0
14,20,869.0
14,21,694.0
15,16,64.0
15,17,181.0
15,18,183.0
15,19,199.0
15,20,198.0
15,21,1.0
16,17,116.0
16,18,118.0
16,19,134.0
16,20,262.0
16,21,64.0
17,18,2.0
17,19,120.0
17,20,378.0
17,21,181.0
18,19,122.0
18,20,380.0
18,21,183.0
19,20,348.0
19,21,151.0
20,21,244.0
