id,center,x,y
0,1,22.229328,113.507867
1,0,22.22804,113.506717
2,0,22.228566,113.506583
3,0,22.229202,113.506879
4,0,22.228842,113.507157
5,0,22.228341,113.50705
6,0,22.227914,113.507652
7,0,22.227872,113.508334
8,0,22.227805,113.509062
9,0,22.228081,113.509529
10,0,22.228474,113.509583
11,0,22.228709,113.509421
12,0,22.228608,113.50987
13,0,22.229227,113.50864
14,0,22.229311,113.507894
15,0,22.229286,113.507131
16,0,22.229713,113.508532
17,0,22.229696,113.507041
18,0,22.23008,113.507508
19,0,22.229344,113.509044
20,0,22.229139,113.509525
21,0,22.228303,113.509785
