id,center,x,y
0,1,22.234869,113.508231
1,0,22.235103,113.508914
2,0,22.235412,113.509399
3,0,22.234877,113.509695
4,0,22.234559,113.509641
5,0,22.234066,113.509264
6,0,22.234333,113.50983
7,0,22.234208,113.510459
8,0,22.234509,113.51124
9,0,22.235011,113.510962
10,0,22.235379,113.510162
11,0,22.236106,113.509974
12,0,22.234534,113.510809
13,0,22.234626,113.509228
14,0,22.236525,113.510863
15,0,22.235847,113.511249
16,0,22.235295,113.511609
17,0,22.23466,113.507261
18,0,22.234241,113.507449
19,0,22.234476,113.506803
20,0,22.233898,113.508087
21,0,22.235429,113.508509
