first,second,distance
0,1,618.0
0,2,1716.0
0,3,1400.0
0,4,716.0
0,5,894.0
0,6,1573.0
0,7,904.0
0,8,45.0
0,9,501.0
0,10,140.0
0,11,365.0
0,12,1443.0
0,13,1666.0
0,14,881.0
0,15,3.0
0,16,600.0
0,17,365.0
0,18,1756.0
0,19,891.0
0,20,950.0
0,21,817.0
1,2,1490.0
1,3,1839.0
1,4,490.0
1,5,668.0
1,6,1347.0
1,7,678.0
1,8,484.0
1,9,940.0
1,10,579.0
1,11,804.0
1,12,1882.0
1,13,1440.0
1,14,655.0
1,15,442.0
1,16,374.0
1,17,804.0
1,18,1530.0
1,19,665.0
1,20,724.0
1,21,591.0
2,3,827.0
2,4,1976.0
2,5,1965.0
2,6,2655.0
2,7,1986.0
2,8,1385.0
2,9,1761.0
2,10,1480.0
2,11,1625.0
2,12,870.0
2,13,2748.0
2,14,1963.0
2,15,1343.0
2,16,1860.0
2,17,1625.0
2,18,40.0
2,19,1962.0
2,20,2021.0
2,21,1838.0
3,4,2117.0
3,5,1139.0
3,6,1829.0
3,7,1160.0
3,8,1446.0
3,9,1902.0
3,10,1541.0
3,11,1766.0
3,12,43.0
3,13,1922.0
3,14,1137.0
3,15,1404.0
3,16,2001.0
3,17,1766.0
3,18,2012.0
3,19,1136.0
3,20,1195.0
3,21,1012.0
4,5,179.0
4,6,858.0
4,7,189.0
4,8,486.0
4,9,942.0
4,10,581.0
4,11,806.0
4,12,1870.0
4,13,951.0
4,14,166.0
4,15,444.0
4,16,1041.0
4,17,806.0
4,18,1041.0
4,19,176.0
4,20,235.0
4,21,102.0
5,6,1835.0
5,7,1166.0
5,8,307.0
5,9,763.0
5,10,402.0
5,11,627.0
5,12,1705.0
5,13,1928.0
5,14,1143.0
5,15,265.0
5,16,862.0
5,17,627.0
5,18,2018.0
5,19,1153.0
5,20,55.0
5,21,1079.0
6,7,2129.0
6,8,1528.0
6,9,1904.0
6,10,1623.0
6,11,1768.0
6,12,1013.0
6,13,93.0
6,14,2106.0
6,15,1486.0
6,16,2003.0
6,17,1768.0
6,18,183.0
6,19,2105.0
6,20,2164.0
6,21,1981.0
7,8,521.0
7,9,977.0
7,10,616.0
7,11,841.0
7,12,1864.0
7,13,945.0
7,14,24.0
7,15,479.0
7,16,1076.0
7,17,841.0
7,18,1035.0
7,19,211.0
7,20,270.0
7,21,148.0
8,9,456.0
8,10,94.0
8,11,320.0
8,12,1398.0
8,13,1621.0
8,14,836.0
8,15,616.0
8,16,555.0
8,17,320.0
8,18,1711.0
8,19,846.0
8,20,905.0
8,21,772.0
9,10,297.0
9,11,522.0
9,12,1600.0
9,13,1165.0
9,14,380.0
9,15,160.0
9,16,99.0
9,17,522.0
9,18,1255.0
9,19,390.0
9,20,449.0
9,21,316.0
10,11,225.0
10,12,1303.0
10,13,1526.0
10,14,741.0
10,15,521.0
10,16,460.0
10,17,225.0
10,18,1616.0
10,19,751.0
10,20,810.0
10,21,677.0
11,12,1737.0
11,13,1302.0
11,14,517.0
11,15,297.0
11,16,236.0
11,17,1.0
11,18,1392.0
11,19,527.0
11,20,586.0
11,21,453.0
12,13,1879.0
12,14,1094.0
12,15,1361.0
12,16,1958.0
12,17,1723.0
12,18,1969.0
12,19,1093.0
12,20,1152.0
12,21,969.0
13,14,2013.0
13,15,1393.0
13,16,1910.0
13,17,1675.0
13,18,89.0
13,19,2012.0
13,20,2071.0
13,21,1888.0
14,15,456.0
14,16,1053.0
14,17,818.0
14,18,1012.0
14,19,188.0
14,20,247.0
14,21,125.0
15,16,596.0
15,17,361.0
15,18,1752.0
15,19,887.0
15,20,946.0
15,21,813.0
16,17,922.0
16,18,1157.0
16,19,292.0
16,20,351.0
16,21,218.0
17,18,1392.0
17,19,527.0
17,20,586.0
17,21,453.0
18,19,1923.0
18,20,1982.0
18,21,1799.0
19,20,59.0
19,21,1082.0
20,21,1024.0
