id,center,x,y
0,1,22.230059,113.51372
1,0,22.229767,113.513621
2,0,22.230703,113.513244
3,0,22.230252,113.513091
4,0,22.229382,113.513297
5,0,22.229432,113.514187
6,0,22.229248,113.513558
7,0,22.230812,113.512651
8,0,22.230093,113.512633
9,0,22.229591,113.51257
10,0,22.229349,113.51274
11,0,22.228914,113.512731
12,0,22.228587,113.51248
13,0,22.22832,113.512552
14,0,22.228144,113.513019
15,0,22.22878,113.513693
16,0,22.228446,113.513998
17,0,22.228219,113.513531
18,0,22.228027,113.512893
19,0,22.227575,113.512507
20,0,22.227776,113.512192
21,0,22.227299,113.511743
