id,center,x,y
0,1,22.226864,113.505765
1,0,22.227843,113.506183
2,0,22.227174,113.505788
3,0,22.227073,113.506731
4,0,22.226572,113.506246
5,0,22.226388,113.506641
6,0,22.227517,113.507126
7,0,22.227115,113.507503
8,0,22.226772,113.507324
9,0,22.226463,113.507665
10,0,22.225961,113.507818
11,0,22.227157,113.508159
12,0,22.226998,113.508707
13,0,22.226128,113.508671
14,0,22.226496,113.508168
15,0,22.227015,113.509354
16,0,22.2274,113.509336
17,0,22.226413,113.509345
18,0,22.22735,113.510378
19,0,22.22806,113.510225
20,0,22.226981,113.510629
21,0,22.227609,113.511195
