first,second,distance
0,1,919.0
0,2,846.0
0,3,945.0
0,4,828.0
0,5,793.0
0,6,835.0
0,7,920.0
0,8,944.0
0,9,963.0
0,10,1055.0
0,11,997.0
0,12,1115.0
0,13,1104.0
0,14,269.0
0,15,269.0
0,16,1179.0
0,17,1179.0
0,18,1179.0
0,19,1151.0
0,20,876.0
0,21,511.0
1,2,73.0
1,3,25.0
1,4,91.0
1,5,126.0
1,6,85.0
1,7,1.0
1,8,25.0
1,9,44.0
1,10,136.0
1,11,78.0
1,12,196.0
1,13,185.0
1,14,815.0
1,15,815.0
1,16,1155.0
1,17,1155.0
1,18,1155.0
1,19,1127.0
1,20,1245.0
1,21,443.0
2,3,98.0
2,4,18.0
2,5,54.0
2,6,12.0
2,7,74.0
2,8,98.0
2,9,117.0
2,10,209.0
2,11,151.0
2,12,269.0
2,13,258.0
2,14,742.0
2,15,742.0
2,16,1228.0
2,17,1228.0
2,18,1228.0
2,19,1200.0
2,20,1052.0
2,21,370.0
3,4,117.0
3,5,152.0
3,6,110.0
3,7,25.0
3,8,1.0
3,9,19.0
3,10,110.0
3,11,52.0
3,12,170.0
3,13,159.0
3,14,841.0
3,15,841.0
3,16,1129.0
3,17,1129.0
3,18,1129.0
3,19,1101.0
3,20,1219.0
3,21,469.0
4,5,35.0
4,6,7.0
4,7,92.0
4,8,116.0
4,9,135.0
4,10,227.0
4,11,169.0
4,12,287.0
4,13,276.0
4,14,724.0
4,15,724.0
4,16,1246.0
4,17,1246.0
4,18,1246.0
4,19,1218.0
4,20,1034.0
4,21,352.0
5,6,42.0
5,7,127.0
5,8,151.0
5,9,170.0
5,10,262.0
5,11,204.0
5,12,322.0
5,13,311.0
5,14,689.0
5,15,689.0
5,16,1281.0
5,17,1281.0
5,18,1281.0
5,19,1253.0
5,20,999.0
5,21,317.0
6,7,85.0
6,8,109.0
6,9,129.0
6,10,220.0
6,11,162.0
6,12,280.0
6,13,269.0
6,14,731.0
6,15,731.0
6,16,1239.0
6,17,1239.0
6,18,1239.0
6,19,1211.0
6,20,1041.0
6,21,359.0
7,8,24.0
7,9,43.0
7,10,135.0
7,11,77.0
7,12,195.0
7,13,184.0
7,14,816.0
7,15,816.0
7,16,1154.0
7,17,1154.0
7,18,1154.0
7,19,1126.0
7,20,1244.0
7,21,444.0
8,9,19.0
8,10,111.0
8,11,53.0
8,12,171.0
8,13,160.0
8,14,840.0
8,15,840.0
8,16,1130.0
8,17,1130.0
8,18,1130.0
8,19,1102.0
8,20,1220.0
8,21,468.0
9,10,92.0
9,11,34.0
9,12,152.0
9,13,141.0
9,14,859.0
9,15,859.0
9,16,1111.0
9,17,1111.0
9,18,1111.0
9,19,1083.0
9,20,1201.0
9,21,487.0
10,11,58.0
10,12,78.0
10,13,67.0
10,14,951.0
10,15,951.0
10,16,1037.0
10,17,1037.0
10,18,1037.0
10,19,1009.0
10,20,1127.0
10,21,579.0
11,12,118.0
11,13,107.0
11,14,893.0
11,15,893.0
11,16,1077.0
11,17,1077.0
11,18,1077.0
11,19,1049.0
11,20,1167.0
11,21,521.0
12,13,11.0
12,14,1011.0
12,15,1011.0
12,16,960.0
12,17,960.0
12,18,960.0
12,19,932.0
12,20,1050.0
12,21,639.0
13,14,1000.0
13,15,1000.0
13,16,971.0
13,17,971.0
13,18,971.0
13,19,943.0
13,20,1061.0
13,21,628.0
14,15,370.0
14,16,1280.0
14,17,1280.0
14,18,1280.0
14,19,1252.0
14,20,977.0
14,21,612.0
15,16,1263.0
15,17,1263.0
15,18,1263.0
15,19,1235.0
15,20,960.0
15,21,595.0
16,17,907.0
16,18,907.0
16,19,879.0
16,20,997.0
16,21,691.0
17,18,345.0
17,19,317.0
17,20,54.0
17,21,678.0
18,19,29.0
18,20,396.0
18,21,1020.0
19,20,127.0
19,21,751.0
20,21,625.0
