first,second,distance
0,1,116.0
0,2,39.0
0,3,94.0
0,4,96.0
0,5,98.0
0,6,59.0
0,7,47.0
0,8,47.0
0,9,288.0
0,10,47.0
0,11,288.0
0,12,288.0
0,13,288.0
0,14,805.0
0,15,811.0
0,16,215.0
0,17,126.0
0,18,97.0
0,19,811.0
0,20,680.0
0,21,72.0
1,2,78.0
1,3,22.0
1,4,212.0
1,5,214.0
1,6,175.0
1,7,157.0
1,8,157.0
1,9,403.0
1,10,157.0
1,11,403.0
1,12,403.0
1,13,403.0
1,14,920.0
1,15,926.0
1,16,99.0
1,17,9.0
1,18,19.0
1,19,926.0
1,20,795.0
1,21,45.0
2,3,56.0
2,4,135.0
2,5,137.0
2,6,98.0
2,7,80.0
2,8,80.0
2,9,326.0
2,10,80.0
2,11,326.0
2,12,326.0
2,13,326.0
2,14,843.0
2,15,849.0
2,16,177.0
2,17,88.0
2,18,59.0
2,19,849.0
2,20,718.0
2,21,33.0
3,4,190.0
3,5,192.0
3,6,153.0
3,7,135.0
3,8,135.0
3,9,381.0
3,10,135.0
3,11,381.0
3,12,381.0
3,13,381.0
3,14,898.0
3,15,904.0
3,16,121.0
3,17,32.0
3,18,3.0
3,19,904.0
3,20,773.0
3,21,23.0
4,5,2.0
4,6,37.0
4,7,143.0
4,8,143.0
4,9,192.0
4,10,143.0
4,11,192.0
4,12,192.0
4,13,192.0
4,14,709.0
4,15,715.0
4,16,311.0
4,17,222.0
4,18,193.0
4,19,715.0
4,20,584.0
4,21,168.0
5,6,39.0
5,7,145.0
5,8,145.0
5,9,190.0
5,10,145.0
5,11,190.0
5,12,190.0
5,13,190.0
5,14,707.0
5,15,713.0
5,16,313.0
5,17,224.0
5,18,195.0
5,19,713.0
5,20,582.0
5,21,170.0
6,7,106.0
6,8,106.0
6,9,229.0
6,10,106.0
6,11,229.0
6,12,229.0
6,13,229.0
6,14,746.0
6,15,752.0
6,16,274.0
6,17,185.0
6,18,156.0
6,19,752.0
6,20,621.0
6,21,131.0
7,8,23.0
7,9,313.0
7,10,23.0
7,11,313.0
7,12,313.0
7,13,313.0
7,14,830.0
7,15,836.0
7,16,235.0
7,17,146.0
7,18,117.0
7,19,836.0
7,20,705.0
7,21,92.0
8,9,313.0
8,10,23.0
8,11,313.0
8,12,313.0
8,13,313.0
8,14,830.0
8,15,836.0
8,16,235.0
8,17,146.0
8,18,117.0
8,19,836.0
8,20,705.0
8,21,92.0
9,10,23.0
9,11,313.0
9,12,313.0
9,13,313.0
9,14,830.0
9,15,836.0
9,16,235.0
9,17,146.0
9,18,117.0
9,19,836.0
9,20,705.0
9,21,92.0
10,11,313.0
10,12,313.0
10,13,313.0
10,14,830.0
10,15,836.0
10,16,235.0
10,17,146.0
10,18,117.0
10,19,836.0
10,20,705.0
10,21,92.0
11,12,313.0
11,13,313.0
11,14,830.0
11,15,836.0
11,16,235.0
11,17,146.0
11,18,117.0
11,19,836.0
11,20,705.0
11,21,92.0
12,13,1462.0
12,14,580.0
12,15,586.0
12,16,1838.0
12,17,1621.0
12,18,1592.0
12,19,586.0
12,20,455.0
12,21,1567.0
13,14,771.0
13,15,777.0
13,16,502.0
13,17,413.0
13,18,384.0
13,19,777.0
13,20,646.0
13,21,359.0
14,15,145.0
14,16,905.0
14,17,816.0
14,18,787.0
14,19,145.0
14,20,14.0
14,21,762.0
15,16,1339.0
15,17,1122.0
15,18,1093.0
15,19,468.0
15,20,337.0
15,21,1068.0
16,17,90.0
16,18,118.0
16,19,1025.0
16,20,894.0
16,21,144.0
17,18,29.0
17,19,936.0
17,20,805.0
17,21,55.0
18,19,907.0
18,20,776.0
18,21,26.0
19,20,705.0
19,21,92.0
20,21,762.0
